id,locale,alias,type,entity_id
9253,fr,la Somalie,French Name,2179
9254,en,SO,iso-3166-2,2179
9255,en,SOM,iso-3166-3,2179
9256,de,Südafrika,German Name,2180
9257,es,República de Sudáfrica;Sudáfrica,Spanish Name,2180
9258,fr,l'Afrique du Sud;la République d'Afrique du Sud,French Name,2180
9259,en,ZA,iso-3166-2,2180
9260,en,ZAF,iso-3166-3,2180
9261,de,Südgeorgien und die Südlichen Sandwichinseln,German Name,2181
9262,es,Georgia del sur y las islas Sandwich del sur,Spanish Name,2181
9263,fr,Géorgie du Sud et les îles Sandwich du Sud,French Name,2181
9264,en,GS,iso-3166-2,2181
9265,en,SGS,iso-3166-3,2181
9266,de,Südkorea;Süd Korea; Republik Korea,German Name,2182
9267,es,República de Corea;Corea del Sur,Spanish Name,2182
9268,fr,la Corée du Sud; République de Corée,French Name,2182
9269,en,KR,iso-3166-2,2182
9270,en,KOR,iso-3166-3,2182
9271,en,Republic of Korea,abbreviation,2182
9272,de,Der Südsudan; Republik Südsudan,German Name,2183
9273,es,Sudán del sur; República de Sudán del Sur,Spanish Name,2183
9390,en,TCI,abbreviation,2205
9274,fr,le Soudan du Sud; la République du Soudan du Sud,French Name,2183
9275,en,SS,iso-3166-2,2183
9276,en,SSD,iso-3166-3,2183
9277,en,Republic of South Sudan,abbreviation,2183
9278,de,Spanien,German Name,2184
9279,es,Reino de España;España,Spanish Name,2184
9280,fr,l'Espagne;le Royaume d'Espagne,French Name,2184
9281,en,ES,iso-3166-2,2184
9282,en,ESP,iso-3166-3,2184
9283,de,Sri Lanka,German Name,2185
9284,es,República Democrática Socialista de Sri Lanka;Sri Lanka,Spanish Name,2185
9285,fr,Sri Lanka,French Name,2185
9286,en,LK,iso-3166-2,2185
9287,en,LKA,iso-3166-3,2185
9288,de,Sudan,German Name,2186
9289,es,República del Sudán;Sudán,Spanish Name,2186
9290,fr,le Soudan;la République du Soudan,French Name,2186
9291,en,SD,iso-3166-2,2186
9292,en,SDN,iso-3166-3,2186
9293,de,Suriname,German Name,2187
9294,es,República del Surinam;Surinam,Spanish Name,2187
9295,fr,le Suriname,French Name,2187
9296,en,SR,iso-3166-2,2187
9297,en,SUR,iso-3166-3,2187
9298,de,Svalbard,German Name,2188
9299,es,Svalbard,Spanish Name,2188
9300,fr,Svalbard,French Name,2188
9301,en,SJ,iso-3166-2,2188
9302,en,SJM,iso-3166-3,2188
9303,de,Swasiland,German Name,2189
9304,es,Reino de Suazilandia;Suazilandia,Spanish Name,2189
9305,fr,le Swaziland,French Name,2189
9306,en,SZ,iso-3166-2,2189
9307,en,SWZ,iso-3166-3,2189
9308,de,Schweden,German Name,2190
9309,es,Reino de Suecia;Suecia,Spanish Name,2190
9310,fr,la Suède;le Royaume de Suède,French Name,2190
9311,en,SE,iso-3166-2,2190
9312,en,SWE,iso-3166-3,2190
9313,de,Schweiz,German Name,2191
9314,es,Confederación Helvética;Suiza,Spanish Name,2191
9315,fr,la Suisse;la Confédération suiss,French Name,2191
9316,en,CH,iso-3166-2,2191
9317,en,CHE,iso-3166-3,2191
9318,de,Arabische Republik Syrien; Syrien,German Name,2192
9319,es,Siria;República Árabe Siria,Spanish Name,2192
9320,fr,la Syrie;République arabe syrienne,French Name,2192
9321,en,SY,iso-3166-2,2192
9322,en,SYR,iso-3166-3,2192
9323,en,Syrian Arab Republic,abbreviation,2192
9324,de,Taiwan; Republik China,German Name,2193
9325,es,Taiwán; República de China,Spanish Name,2193
9326,fr,Taïwan; République de Chine,French Name,2193
9327,en,TW,iso-3166-2,2193
